park	recreational_visits	non_recreational_visits	recreational_hours	non_recreational_hours	concessioner_lodging	concessioner_camping	tents_overnight	rv_overnights	backcountry_overnights	non_recreational_overnights	misc_overnights
Abraham Lincoln Birthplace NHP	"269,580"	0	"269,580"	0	0	0	0	0	0	0	0
Acadia NP	"3,509,271"	"47,100"	"24,014,370"	"47,100"	0	"1,657"	"152,586"	"55,812"	"1,597"	0	"10,889"
Adams NHP	"255,562"	"1,036"	"254,438"	517	0	0	0	0	0	0	0
African Burial Ground NM	"43,182"	0	"32,539"	0	0	0	0	0	0	0	0
Agate Fossil Beds NM	"32,038"	0	"65,694"	0	0	0	0	0	0	0	0
Alibates Flint Quarries NM	"6,613"	0	"16,531"	0	0	0	0	0	0	0	0
Allegheny Portage Railroad NHS	"201,837"	180	"311,595"	48	0	0	0	0	0	0	0
Amistad NRA	"1,221,635"	"1,128"	"8,938,806"	"1,128"	0	0	0	"11,019"	0	0	"1,605"
Andersonville NHS	"132,149"	0	"264,295"	0	0	0	0	0	0	0	0
Andrew Johnson NHS	"53,998"	0	"28,225"	0	0	0	0	0	0	0	0
Aniakchak NM & PRES	100	0	"5,640"	0	0	0	0	0	235	0	0
Antietam NB	"366,508"	0	"763,974"	0	0	0	0	0	0	0	357
Apostle Islands NL	"203,421"	"1,054"	"776,818"	263	0	0	0	0	"11,550"	0	"7,614"
Appomattox Court House NHP	"113,960"	0	"165,513"	0	0	0	0	0	0	0	0
Arches NP	"1,539,028"	0	"4,672,677"	0	0	0	"1,426"	826	65	0	0
Arkansas Post NMEM	"36,079"	0	"54,442"	0	0	0	0	0	0	0	18
Arlington House The R.E. Lee MEM	"726,059"	0	"363,031"	0	0	0	0	0	0	0	0
Assateague Island NS	"2,347,167"	"3,600"	"19,970,763"	"3,600"	0	0	"41,941"	"22,832"	"1,633"	0	"14,814"
Aztec Ruins NM	"52,756"	"1,835"	"79,135"	"1,835"	0	0	0	0	0	0	0
Badlands NP	"1,054,325"	"67,459"	"4,908,225"	"33,730"	"9,646"	"48,157"	"4,930"	859	"2,433"	0	338
Bandelier NM	"209,141"	840	"940,135"	120	0	0	"5,358"	"5,500"	638	0	"5,261"
Belmont-Paul Women's Equality NM	"10,893"	"2,576"	"10,446"	"1,288"	0	0	0	0	0	0	0
Bent's Old Fort NHS	"26,397"	0	"46,194"	0	0	0	0	0	0	0	0
Bering Land Bridge NPRES	"2,642"	"1,128"	"7,926"	"9,024"	0	0	0	0	"1,123"	360	0
Big Bend NP	"440,276"	"2,364"	"11,005,448"	"7,092"	"44,485"	"8,204"	"65,446"	"33,529"	"42,555"	0	"44,203"
Big Cypress NPRES	"922,883"	0	"3,106,348"	0	0	0	"2,128"	"8,814"	"2,532"	0	0
Big Hole NB	"36,717"	0	"53,785"	0	0	0	0	0	0	0	0
Big South Fork NRRA	"761,200"	0	"5,539,756"	0	"3,703"	0	"8,848"	"36,309"	"11,647"	0	"2,878"
Big Thicket NPRES	"170,649"	0	"589,027"	0	0	0	0	0	"2,747"	0	0
Bighorn Canyon NRA	"231,836"	"6,900"	"885,290"	"3,447"	0	0	"2,016"	"6,669"	0	0	0
Biscayne NP	"446,961"	0	"1,529,665"	0	0	0	"2,452"	0	0	0	"5,414"
Black Canyon of the Gunnison NP	"307,143"	0	"1,746,554"	0	0	0	"18,795"	"12,257"	"1,708"	0	0
Blue Ridge PKWY	"16,093,765"	"1,942,260"	"100,208,628"	"971,136"	"49,906"	0	"63,240"	"36,031"	"1,447"	0	"1,294"
Bluestone NSR	"32,028"	0	"80,069"	0	0	0	0	0	0	0	0
Booker T. Washington NM	"25,479"	84	"52,122"	12	0	0	0	0	0	0	0
Boston African American NHS	"413,151"	0	"826,302"	0	0	0	0	0	0	0	0
Boston NHP	"3,425,606"	"64,620"	"2,621,338"	"10,987"	0	0	0	0	0	0	0
Brown v. Board of Education NHS	"25,204"	0	"50,408"	0	0	0	0	0	0	0	0
Bryce Canyon NP	"2,571,684"	"420,540"	"14,027,927"	"126,163"	"54,525"	0	"33,492"	"61,386"	"2,414"	0	"1,414"
Buck Island Reef NM	"33,082"	0	"201,009"	0	0	0	0	0	0	0	"3,840"
Buffalo NR	"1,471,330"	0	"9,792,436"	0	"2,687"	0	"43,603"	"13,112"	"33,396"	0	"9,536"
Cabrillo NM	"997,903"	"81,792"	"1,491,544"	"20,447"	0	0	0	0	0	0	0
Canaveral NS	"1,598,586"	0	"4,050,858"	0	0	0	0	0	"2,465"	0	0
Cane River Creole NHP	"30,117"	0	"60,236"	0	0	0	0	0	0	0	0
Canyon de Chelly NM	"825,660"	"1,213,974"	"5,313,761"	"2,427,949"	"19,216"	"10,058"	0	0	709	0	0
Canyonlands NP	"742,271"	0	"5,375,294"	0	0	0	"13,565"	"8,519"	"82,188"	0	828
